title,title_detail,links,link,summary,summary_detail,parss_primesponsor,parss_cosponsors,parss_lastaction,parss_enacted,parss_passedhouse,parss_passedsenate,published,published_parsed,id,guidislink
House Bill 810 Printer's Number 818,"{'type': 'text/plain', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/HouseBills.xml', 'value': ""House Bill 810 Printer's Number 818""}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.legis.state.pa.us/cfdocs/legis/PN/Public/btCheck.cfm?txtType=HTM&sessYr=2023&sessInd=0&billBody=H&billTyp=B&billNbr=810&pn=818'}]",https://www.legis.state.pa.us/cfdocs/legis/PN/Public/btCheck.cfm?txtType=HTM&sessYr=2023&sessInd=0&billBody=H&billTyp=B&billNbr=810&pn=818,"An Act amending Title 18 (Crimes and Offenses) of the Pennsylvania Consolidated Statutes, in abortion, further providing for spousal notice.","{'type': 'text/html', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/HouseBills.xml', 'value': 'An Act amending Title 18 (Crimes and Offenses) of the Pennsylvania Consolidated Statutes, in abortion, further providing for spousal notice.'}",Representative HANBIDGE,"HOHENSTEIN, KINKEAD, KINSEY, SANCHEZ, PROBST, KENYATTA, MADDEN, SCHLOSSBERG, ROZZI, OTTEN, N. NELSON, KHAN and MAYES","Referred to JUDICIARY,  April 4, 2023",NO,NO,NO,"Tue, 04 Apr 2023 16:04:49 GMT","time.struct_time(tm_year=2023, tm_mon=4, tm_mday=4, tm_hour=16, tm_min=4, tm_sec=49, tm_wday=1, tm_yday=94, tm_isdst=0)",20230HB810P818,False
House Bill 802 Printer's Number 817,"{'type': 'text/plain', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/HouseBills.xml', 'value': ""House Bill 802 Printer's Number 817""}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.legis.state.pa.us/cfdocs/legis/PN/Public/btCheck.cfm?txtType=HTM&sessYr=2023&sessInd=0&billBody=H&billTyp=B&billNbr=802&pn=817'}]",https://www.legis.state.pa.us/cfdocs/legis/PN/Public/btCheck.cfm?txtType=HTM&sessYr=2023&sessInd=0&billBody=H&billTyp=B&billNbr=802&pn=817,"An Act amending the act of May 22, 1951 (P.L.317, No.69), known as The Professional Nursing Law, providing for performance of reproductive health services on non-Commonwealth residents....","{'type': 'text/html', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/HouseBills.xml', 'value': 'An Act amending the act of May 22, 1951 (P.L.317, No.69), known as The Professional Nursing Law, providing for performance of reproductive health services on non-Commonwealth residents....'}",Representative OTTEN,"FIEDLER, FRANKEL, HILL-EVANS, KINKEAD, RABB, BURGOS, HOHENSTEIN, MADDEN, SANCHEZ, SCHLOSSBERG, PIELLI, PROBST, D. WILLIAMS, SHUSTERMAN, FLEMING, DEASY, STURLA, FREEMAN, KINSEY, INNAMORATO, BENHAM, N. NELSON, TAKAC, KHAN and MAYES","Referred to PROFESSIONAL LICENSURE,  April 4, 2023",NO,NO,NO,"Tue, 04 Apr 2023 16:04:34 GMT","time.struct_time(tm_year=2023, tm_mon=4, tm_mday=4, tm_hour=16, tm_min=4, tm_sec=34, tm_wday=1, tm_yday=94, tm_isdst=0)",20230HB802P817,False
House Bill 800 Printer's Number 816,"{'type': 'text/plain', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/HouseBills.xml', 'value': ""House Bill 800 Printer's Number 816""}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.legis.state.pa.us/cfdocs/legis/PN/Public/btCheck.cfm?txtType=HTM&sessYr=2023&sessInd=0&billBody=H&billTyp=B&billNbr=800&pn=816'}]",https://www.legis.state.pa.us/cfdocs/legis/PN/Public/btCheck.cfm?txtType=HTM&sessYr=2023&sessInd=0&billBody=H&billTyp=B&billNbr=800&pn=816,"An Act amending the act of May 17, 1921 (P.L.682, No.284), known as The Insurance Company Law of 1921, providing for sharing of reproductive health information....","{'type': 'text/html', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/HouseBills.xml', 'value': 'An Act amending the act of May 17, 1921 (P.L.682, No.284), known as The Insurance Company Law of 1921, providing for sharing of reproductive health information....'}",Representative OTTEN,"FIEDLER, FRANKEL, HILL-EVANS, KINKEAD, RABB, BURGOS, HOHENSTEIN, MADDEN, SANCHEZ, SCHLOSSBERG, PIELLI, PROBST, D. WILLIAMS, SHUSTERMAN, FLEMING, DEASY, STURLA, FREEMAN, KINSEY, KRAJEWSKI, N. NELSON, INNAMORATO, TAKAC and MAYES","Referred to INSURANCE,  April 4, 2023",NO,NO,NO,"Tue, 04 Apr 2023 16:04:17 GMT","time.struct_time(tm_year=2023, tm_mon=4, tm_mday=4, tm_hour=16, tm_min=4, tm_sec=17, tm_wday=1, tm_yday=94, tm_isdst=0)",20230HB800P816,False
House Resolution 65 Printer's Number 815,"{'type': 'text/plain', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/HouseBills.xml', 'value': ""House Resolution 65 Printer's Number 815""}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.legis.state.pa.us/cfdocs/legis/PN/Public/btCheck.cfm?txtType=HTM&sessYr=2023&sessInd=0&billBody=H&billTyp=R&billNbr=65&pn=815'}]",https://www.legis.state.pa.us/cfdocs/legis/PN/Public/btCheck.cfm?txtType=HTM&sessYr=2023&sessInd=0&billBody=H&billTyp=R&billNbr=65&pn=815,A Resolution directing the Joint State Government Commission to conduct a study on the current status of bat species located in this Commonwealth and management and conservation efforts that have been undertaken to protect and bolster bat populations and to issue a report of its findings and recommendations to the General Assembly....,"{'type': 'text/html', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/HouseBills.xml', 'value': 'A Resolution directing the Joint State Government Commission to conduct a study on the current status of bat species located in this Commonwealth and management and conservation efforts that have been undertaken to protect and bolster bat populations and to issue a report of its findings and recommendations to the General Assembly....'}",Representative HOWARD,"RABB, MADDEN, SANCHEZ, SAPPEY, KHAN, BRENNAN and JAMES","Referred to GAME AND FISHERIES,  April 4, 2023",NO,NO,NO,"Tue, 04 Apr 2023 12:58:54 GMT","time.struct_time(tm_year=2023, tm_mon=4, tm_mday=4, tm_hour=12, tm_min=58, tm_sec=54, tm_wday=1, tm_yday=94, tm_isdst=0)",20230HR65P815,False
House Bill 841 Printer's Number 814,"{'type': 'text/plain', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/HouseBills.xml', 'value': ""House Bill 841 Printer's Number 814""}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.legis.state.pa.us/cfdocs/legis/PN/Public/btCheck.cfm?txtType=HTM&sessYr=2023&sessInd=0&billBody=H&billTyp=B&billNbr=841&pn=814'}]",https://www.legis.state.pa.us/cfdocs/legis/PN/Public/btCheck.cfm?txtType=HTM&sessYr=2023&sessInd=0&billBody=H&billTyp=B&billNbr=841&pn=814,"An Act amending Title 44 (Law and Justice) of the Pennsylvania Consolidated Statutes, in DNA data and testing, further providing for policy, for definitions, for DNA sample required upon conviction, delinquency adjudication and certain ARD cases, for collection from persons accepted from other jurisdictions, for expungement and for mandatory cost....","{'type': 'text/html', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/HouseBills.xml', 'value': 'An Act amending Title 44 (Law and Justice) of the Pennsylvania Consolidated Statutes, in DNA data and testing, further providing for policy, for definitions, for DNA sample required upon conviction, delinquency adjudication and certain ARD cases, for collection from persons accepted from other jurisdictions, for expungement and for mandatory cost....'}",Representative HOWARD,"SANCHEZ, MADDEN, KHAN and KRAJEWSKI","Referred to JUDICIARY,  April 4, 2023",NO,NO,NO,"Tue, 04 Apr 2023 12:58:13 GMT","time.struct_time(tm_year=2023, tm_mon=4, tm_mday=4, tm_hour=12, tm_min=58, tm_sec=13, tm_wday=1, tm_yday=94, tm_isdst=0)",20230HB841P814,False
House Bill 840 Printer's Number 813,"{'type': 'text/plain', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/HouseBills.xml', 'value': ""House Bill 840 Printer's Number 813""}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.legis.state.pa.us/cfdocs/legis/PN/Public/btCheck.cfm?txtType=HTM&sessYr=2023&sessInd=0&billBody=H&billTyp=B&billNbr=840&pn=813'}]",https://www.legis.state.pa.us/cfdocs/legis/PN/Public/btCheck.cfm?txtType=HTM&sessYr=2023&sessInd=0&billBody=H&billTyp=B&billNbr=840&pn=813,"An Act amending the act of November 10, 1999 (P.L.491, No.45), known as the Pennsylvania Construction Code Act, providing for building permits and endangered and threatened species; and making an appropriation....","{'type': 'text/html', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/HouseBills.xml', 'value': 'An Act amending the act of November 10, 1999 (P.L.491, No.45), known as the Pennsylvania Construction Code Act, providing for building permits and endangered and threatened species; and making an appropriation....'}",Representative HOWARD,"SANCHEZ, MADDEN, McNEILL, CIRESI, HILL-EVANS, KINSEY, GUENST and SHUSTERMAN","Referred to HOUSING AND COMMUNITY DEVELOPMENT,  April 4, 2023",NO,NO,NO,"Tue, 04 Apr 2023 12:57:50 GMT","time.struct_time(tm_year=2023, tm_mon=4, tm_mday=4, tm_hour=12, tm_min=57, tm_sec=50, tm_wday=1, tm_yday=94, tm_isdst=0)",20230HB840P813,False
House Bill 839 Printer's Number 812,"{'type': 'text/plain', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/HouseBills.xml', 'value': ""House Bill 839 Printer's Number 812""}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.legis.state.pa.us/cfdocs/legis/PN/Public/btCheck.cfm?txtType=HTM&sessYr=2023&sessInd=0&billBody=H&billTyp=B&billNbr=839&pn=812'}]",https://www.legis.state.pa.us/cfdocs/legis/PN/Public/btCheck.cfm?txtType=HTM&sessYr=2023&sessInd=0&billBody=H&billTyp=B&billNbr=839&pn=812,"An Act amending the act of December 5, 1936 (2nd Sp.Sess., 1937 P.L.2897, No.1), known as the Unemployment Compensation Law, in compensation, further providing for qualifications required to secure compensation....","{'type': 'text/html', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/HouseBills.xml', 'value': 'An Act amending the act of December 5, 1936 (2nd Sp.Sess., 1937 P.L.2897, No.1), known as the Unemployment Compensation Law, in compensation, further providing for qualifications required to secure compensation....'}",Representative KEEFER,"JAMES, HAMM, ROAE, KAUFFMAN, ROWE, ZIMMERMAN, MOUL and LEADBETER","Referred to LABOR AND INDUSTRY,  April 4, 2023",NO,NO,NO,"Tue, 04 Apr 2023 12:57:23 GMT","time.struct_time(tm_year=2023, tm_mon=4, tm_mday=4, tm_hour=12, tm_min=57, tm_sec=23, tm_wday=1, tm_yday=94, tm_isdst=0)",20230HB839P812,False
House Bill 838 Printer's Number 811,"{'type': 'text/plain', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/HouseBills.xml', 'value': ""House Bill 838 Printer's Number 811""}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.legis.state.pa.us/cfdocs/legis/PN/Public/btCheck.cfm?txtType=HTM&sessYr=2023&sessInd=0&billBody=H&billTyp=B&billNbr=838&pn=811'}]",https://www.legis.state.pa.us/cfdocs/legis/PN/Public/btCheck.cfm?txtType=HTM&sessYr=2023&sessInd=0&billBody=H&billTyp=B&billNbr=838&pn=811,"An Act amending Title 18 (Crimes and Offenses) of the Pennsylvania Consolidated Statutes, in theft and related offenses, further providing for the offense of financial exploitation of an older adult or care-dependent person and providing for the offense of financial exploitation of a family or household member and for civil causes of action in cases of financial exploitation; and imposing penalties....","{'type': 'text/html', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/HouseBills.xml', 'value': 'An Act amending Title 18 (Crimes and Offenses) of the Pennsylvania Consolidated Statutes, in theft and related offenses, further providing for the offense of financial exploitation of an older adult or care-dependent person and providing for the offense of financial exploitation of a family or household member and for civil causes of action in cases of financial exploitation; and imposing penalties....'}",Representative HOWARD,"SANCHEZ, PROBST, MADDEN, HILL-EVANS, CERRATO, SHUSTERMAN and PARKER","Referred to JUDICIARY,  April 4, 2023",NO,NO,NO,"Tue, 04 Apr 2023 12:56:52 GMT","time.struct_time(tm_year=2023, tm_mon=4, tm_mday=4, tm_hour=12, tm_min=56, tm_sec=52, tm_wday=1, tm_yday=94, tm_isdst=0)",20230HB838P811,False
House Bill 837 Printer's Number 810,"{'type': 'text/plain', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/HouseBills.xml', 'value': ""House Bill 837 Printer's Number 810""}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.legis.state.pa.us/cfdocs/legis/PN/Public/btCheck.cfm?txtType=HTM&sessYr=2023&sessInd=0&billBody=H&billTyp=B&billNbr=837&pn=810'}]",https://www.legis.state.pa.us/cfdocs/legis/PN/Public/btCheck.cfm?txtType=HTM&sessYr=2023&sessInd=0&billBody=H&billTyp=B&billNbr=837&pn=810,"An Act amending Title 58 (Oil and Gas) of the Pennsylvania Consolidated Statutes, in development, further providing for penalties.","{'type': 'text/html', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/HouseBills.xml', 'value': 'An Act amending Title 58 (Oil and Gas) of the Pennsylvania Consolidated Statutes, in development, further providing for penalties.'}",Representative HOWARD,"MADDEN, SANCHEZ, PIELLI, KHAN, BRENNAN, HILL-EVANS and SHUSTERMAN","Referred to ENVIRONMENTAL RESOURCES AND ENERGY,  April 4, 2023",NO,NO,NO,"Tue, 04 Apr 2023 12:56:29 GMT","time.struct_time(tm_year=2023, tm_mon=4, tm_mday=4, tm_hour=12, tm_min=56, tm_sec=29, tm_wday=1, tm_yday=94, tm_isdst=0)",20230HB837P810,False
House Bill 836 Printer's Number 809,"{'type': 'text/plain', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/HouseBills.xml', 'value': ""House Bill 836 Printer's Number 809""}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.legis.state.pa.us/cfdocs/legis/PN/Public/btCheck.cfm?txtType=HTM&sessYr=2023&sessInd=0&billBody=H&billTyp=B&billNbr=836&pn=809'}]",https://www.legis.state.pa.us/cfdocs/legis/PN/Public/btCheck.cfm?txtType=HTM&sessYr=2023&sessInd=0&billBody=H&billTyp=B&billNbr=836&pn=809,"An Act amending the act of July 23, 1970 (P.L.563, No.195), known as the Public Employe Relations Act, in representation, providing for recertification....","{'type': 'text/html', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/HouseBills.xml', 'value': 'An Act amending the act of July 23, 1970 (P.L.563, No.195), known as the Public Employe Relations Act, in representation, providing for recertification....'}",Representative KEEFER,"HAMM, KAUFFMAN, M. JONES, ROWE, ZIMMERMAN and LEADBETER","Referred to LABOR AND INDUSTRY,  April 4, 2023",NO,NO,NO,"Tue, 04 Apr 2023 12:56:06 GMT","time.struct_time(tm_year=2023, tm_mon=4, tm_mday=4, tm_hour=12, tm_min=56, tm_sec=6, tm_wday=1, tm_yday=94, tm_isdst=0)",20230HB836P809,False
House Bill 835 Printer's Number 808,"{'type': 'text/plain', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/HouseBills.xml', 'value': ""House Bill 835 Printer's Number 808""}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.legis.state.pa.us/cfdocs/legis/PN/Public/btCheck.cfm?txtType=HTM&sessYr=2023&sessInd=0&billBody=H&billTyp=B&billNbr=835&pn=808'}]",https://www.legis.state.pa.us/cfdocs/legis/PN/Public/btCheck.cfm?txtType=HTM&sessYr=2023&sessInd=0&billBody=H&billTyp=B&billNbr=835&pn=808,"An Act amending Title 23 (Domestic Relations) of the Pennsylvania Consolidated Statutes, in protection from abuse, further providing for definitions.","{'type': 'text/html', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/HouseBills.xml', 'value': 'An Act amending Title 23 (Domestic Relations) of the Pennsylvania Consolidated Statutes, in protection from abuse, further providing for definitions.'}",Representative HOWARD,"KINSEY, MADDEN, HILL-EVANS, SCHLOSSBERG, SANCHEZ, ROZZI, DELLOSO and SHUSTERMAN","Referred to JUDICIARY,  April 4, 2023",NO,NO,NO,"Tue, 04 Apr 2023 12:55:41 GMT","time.struct_time(tm_year=2023, tm_mon=4, tm_mday=4, tm_hour=12, tm_min=55, tm_sec=41, tm_wday=1, tm_yday=94, tm_isdst=0)",20230HB835P808,False
House Bill 834 Printer's Number 807,"{'type': 'text/plain', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/HouseBills.xml', 'value': ""House Bill 834 Printer's Number 807""}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.legis.state.pa.us/cfdocs/legis/PN/Public/btCheck.cfm?txtType=HTM&sessYr=2023&sessInd=0&billBody=H&billTyp=B&billNbr=834&pn=807'}]",https://www.legis.state.pa.us/cfdocs/legis/PN/Public/btCheck.cfm?txtType=HTM&sessYr=2023&sessInd=0&billBody=H&billTyp=B&billNbr=834&pn=807,"An Act amending the act of July 23, 1970 (P.L.563, No.195), known as the Public Employe Relations Act, in employee rights, providing for conditions of collective bargaining agreement; and, in scope of bargaining, further providing for maintenance of membership....","{'type': 'text/html', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/HouseBills.xml', 'value': 'An Act amending the act of July 23, 1970 (P.L.563, No.195), known as the Public Employe Relations Act, in employee rights, providing for conditions of collective bargaining agreement; and, in scope of bargaining, further providing for maintenance of membership....'}",Representative KEEFER,"HAMM, MOUL, KAUFFMAN, MENTZER, M. JONES, ROWE, ZIMMERMAN, LEADBETER and T. JONES","Referred to LABOR AND INDUSTRY,  April 4, 2023",NO,NO,NO,"Tue, 04 Apr 2023 12:55:11 GMT","time.struct_time(tm_year=2023, tm_mon=4, tm_mday=4, tm_hour=12, tm_min=55, tm_sec=11, tm_wday=1, tm_yday=94, tm_isdst=0)",20230HB834P807,False
House Bill 833 Printer's Number 806,"{'type': 'text/plain', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/HouseBills.xml', 'value': ""House Bill 833 Printer's Number 806""}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.legis.state.pa.us/cfdocs/legis/PN/Public/btCheck.cfm?txtType=HTM&sessYr=2023&sessInd=0&billBody=H&billTyp=B&billNbr=833&pn=806'}]",https://www.legis.state.pa.us/cfdocs/legis/PN/Public/btCheck.cfm?txtType=HTM&sessYr=2023&sessInd=0&billBody=H&billTyp=B&billNbr=833&pn=806,"An Act amending the act of November 10, 1999 (P.L.491, No.45), known as the Pennsylvania Construction Code Act, in Uniform Construction Code, further providing for adoption by regulations....","{'type': 'text/html', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/HouseBills.xml', 'value': 'An Act amending the act of November 10, 1999 (P.L.491, No.45), known as the Pennsylvania Construction Code Act, in Uniform Construction Code, further providing for adoption by regulations....'}",Representative HOWARD,"HANBIDGE, HILL-EVANS, SANCHEZ and ROZZI","Referred to HOUSING AND COMMUNITY DEVELOPMENT,  April 4, 2023",NO,NO,NO,"Tue, 04 Apr 2023 12:54:45 GMT","time.struct_time(tm_year=2023, tm_mon=4, tm_mday=4, tm_hour=12, tm_min=54, tm_sec=45, tm_wday=1, tm_yday=94, tm_isdst=0)",20230HB833P806,False
House Bill 832 Printer's Number 805,"{'type': 'text/plain', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/HouseBills.xml', 'value': ""House Bill 832 Printer's Number 805""}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.legis.state.pa.us/cfdocs/legis/PN/Public/btCheck.cfm?txtType=HTM&sessYr=2023&sessInd=0&billBody=H&billTyp=B&billNbr=832&pn=805'}]",https://www.legis.state.pa.us/cfdocs/legis/PN/Public/btCheck.cfm?txtType=HTM&sessYr=2023&sessInd=0&billBody=H&billTyp=B&billNbr=832&pn=805,An Act establishing the Pollinator Task Force and providing for its powers and duties; and imposing duties on the Department of Agriculture....,"{'type': 'text/html', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/HouseBills.xml', 'value': 'An Act establishing the Pollinator Task Force and providing for its powers and duties; and imposing duties on the Department of Agriculture....'}",Representative RABB,"SANCHEZ, HILL-EVANS, SAPPEY, ISAACSON, MADDEN, GUENST, ZIMMERMAN, KINKEAD, SAMUELSON, CIRESI and HOWARD","Referred to AGRICULTURE AND RURAL AFFAIRS,  April 4, 2023",NO,NO,NO,"Tue, 04 Apr 2023 12:54:14 GMT","time.struct_time(tm_year=2023, tm_mon=4, tm_mday=4, tm_hour=12, tm_min=54, tm_sec=14, tm_wday=1, tm_yday=94, tm_isdst=0)",20230HB832P805,False
House Bill 831 Printer's Number 804,"{'type': 'text/plain', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/HouseBills.xml', 'value': ""House Bill 831 Printer's Number 804""}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.legis.state.pa.us/cfdocs/legis/PN/Public/btCheck.cfm?txtType=HTM&sessYr=2023&sessInd=0&billBody=H&billTyp=B&billNbr=831&pn=804'}]",https://www.legis.state.pa.us/cfdocs/legis/PN/Public/btCheck.cfm?txtType=HTM&sessYr=2023&sessInd=0&billBody=H&billTyp=B&billNbr=831&pn=804,"An Act amending Title 42 (Judiciary and Judicial Procedure) of the Pennsylvania Consolidated Statutes, in bonds and recognizances, providing for bail in illegal firearm offenses in city of the first class....","{'type': 'text/html', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/HouseBills.xml', 'value': 'An Act amending Title 42 (Judiciary and Judicial Procedure) of the Pennsylvania Consolidated Statutes, in bonds and recognizances, providing for bail in illegal firearm offenses in city of the first class....'}",Representative DAWKINS,"MADDEN, SHUSTERMAN, SANCHEZ, SAPPEY and PARKER","Referred to JUDICIARY,  April 4, 2023",NO,NO,NO,"Tue, 04 Apr 2023 12:53:43 GMT","time.struct_time(tm_year=2023, tm_mon=4, tm_mday=4, tm_hour=12, tm_min=53, tm_sec=43, tm_wday=1, tm_yday=94, tm_isdst=0)",20230HB831P804,False
House Bill 830 Printer's Number 803,"{'type': 'text/plain', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/HouseBills.xml', 'value': ""House Bill 830 Printer's Number 803""}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.legis.state.pa.us/cfdocs/legis/PN/Public/btCheck.cfm?txtType=HTM&sessYr=2023&sessInd=0&billBody=H&billTyp=B&billNbr=830&pn=803'}]",https://www.legis.state.pa.us/cfdocs/legis/PN/Public/btCheck.cfm?txtType=HTM&sessYr=2023&sessInd=0&billBody=H&billTyp=B&billNbr=830&pn=803,"An Act amending the act of June 3, 1937 (P.L.1333, No.320), known as the Pennsylvania Election Code, in election districts and polling places, further providing for polling places to be selected by county board; and, in qualifications of electors, further providing for residence of electors....","{'type': 'text/html', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/HouseBills.xml', 'value': 'An Act amending the act of June 3, 1937 (P.L.1333, No.320), known as the Pennsylvania Election Code, in election districts and polling places, further providing for polling places to be selected by county board; and, in qualifications of electors, further providing for residence of electors....'}",Representative DAWKINS,"HOHENSTEIN, WAXMAN, RABB, KINSEY, MADDEN, HILL-EVANS, KHAN, SANCHEZ, KRAJEWSKI and PARKER","Referred to STATE GOVERNMENT,  April 4, 2023",NO,NO,NO,"Tue, 04 Apr 2023 12:53:20 GMT","time.struct_time(tm_year=2023, tm_mon=4, tm_mday=4, tm_hour=12, tm_min=53, tm_sec=20, tm_wday=1, tm_yday=94, tm_isdst=0)",20230HB830P803,False
House Bill 829 Printer's Number 802,"{'type': 'text/plain', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/HouseBills.xml', 'value': ""House Bill 829 Printer's Number 802""}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.legis.state.pa.us/cfdocs/legis/PN/Public/btCheck.cfm?txtType=HTM&sessYr=2023&sessInd=0&billBody=H&billTyp=B&billNbr=829&pn=802'}]",https://www.legis.state.pa.us/cfdocs/legis/PN/Public/btCheck.cfm?txtType=HTM&sessYr=2023&sessInd=0&billBody=H&billTyp=B&billNbr=829&pn=802,"An Act amending the act of April 12, 1951 (P.L.90, No.21), known as the Liquor Code, in licenses and regulations and liquor, alcohol and malt and brewed beverages, further providing for interlocking business prohibited and for unlawful acts relative to liquor, malt and brewed beverages and licensees....","{'type': 'text/html', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/HouseBills.xml', 'value': 'An Act amending the act of April 12, 1951 (P.L.90, No.21), known as the Liquor Code, in licenses and regulations and liquor, alcohol and malt and brewed beverages, further providing for interlocking business prohibited and for unlawful acts relative to liquor, malt and brewed beverages and licensees....'}",Representative GERGELY,"SANCHEZ, MADDEN, DEASY, HILL-EVANS and KUZMA","Referred to LIQUOR CONTROL,  April 4, 2023",NO,NO,NO,"Tue, 04 Apr 2023 12:52:58 GMT","time.struct_time(tm_year=2023, tm_mon=4, tm_mday=4, tm_hour=12, tm_min=52, tm_sec=58, tm_wday=1, tm_yday=94, tm_isdst=0)",20230HB829P802,False
House Bill 600 Printer's Number 801,"{'type': 'text/plain', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/HouseBills.xml', 'value': ""House Bill 600 Printer's Number 801""}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.legis.state.pa.us/cfdocs/legis/PN/Public/btCheck.cfm?txtType=HTM&sessYr=2023&sessInd=0&billBody=H&billTyp=B&billNbr=600&pn=801'}]",https://www.legis.state.pa.us/cfdocs/legis/PN/Public/btCheck.cfm?txtType=HTM&sessYr=2023&sessInd=0&billBody=H&billTyp=B&billNbr=600&pn=801,"An Act amending Title 23 (Domestic Relations) of the Pennsylvania Consolidated Statutes, in marriage ceremony, further providing for persons qualified to solemnize marriages....","{'type': 'text/html', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/HouseBills.xml', 'value': 'An Act amending Title 23 (Domestic Relations) of the Pennsylvania Consolidated Statutes, in marriage ceremony, further providing for persons qualified to solemnize marriages....'}",Representative McNEILL,"SANCHEZ, KINSEY, HOHENSTEIN, SIEGEL, MADDEN, CIRESI, HILL-EVANS, KHAN, CONKLIN, ISAACSON, OTTEN, GUENST, KULIK, SCHWEYER and SHUSTERMAN","Referred to JUDICIARY,  March 21, 2023",NO,NO,NO,"Tue, 04 Apr 2023 11:09:48 GMT","time.struct_time(tm_year=2023, tm_mon=4, tm_mday=4, tm_hour=11, tm_min=9, tm_sec=48, tm_wday=1, tm_yday=94, tm_isdst=0)",20230HB600P801,False
