title,title_detail,links,link,summary,summary_detail,published,published_parsed,id,guidislink
"Thursday, April 06, 2023  - Senator Judith L. Schwank","{'type': 'text/plain', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/SenateCosponsorship.xml', 'value': 'Thursday, April 06, 2023  - Senator Judith L. Schwank'}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.legis.state.pa.us/cfdocs/legis/CSM/showMemoPublic.cfm?chamber=S&SPick=20230&cosponId=40440'}]",https://www.legis.state.pa.us/cfdocs/legis/CSM/showMemoPublic.cfm?chamber=S&SPick=20230&cosponId=40440,Primary Care Investment Task Force,"{'type': 'text/html', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/SenateCosponsorship.xml', 'value': 'Primary Care Investment Task Force'}","Thu, 06 Apr 2023 17:57:07 GMT","time.struct_time(tm_year=2023, tm_mon=4, tm_mday=6, tm_hour=17, tm_min=57, tm_sec=7, tm_wday=3, tm_yday=96, tm_isdst=0)",40440Primary Care Investment Task Force20230406,False
"Thursday, April 06, 2023  - Senator Judith L. Schwank","{'type': 'text/plain', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/SenateCosponsorship.xml', 'value': 'Thursday, April 06, 2023  - Senator Judith L. Schwank'}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.legis.state.pa.us/cfdocs/legis/CSM/showMemoPublic.cfm?chamber=S&SPick=20230&cosponId=40439'}]",https://www.legis.state.pa.us/cfdocs/legis/CSM/showMemoPublic.cfm?chamber=S&SPick=20230&cosponId=40439,Yearly Land Rent Increase Cap for Manufactured Homes,"{'type': 'text/html', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/SenateCosponsorship.xml', 'value': 'Yearly Land Rent Increase Cap for Manufactured Homes'}","Thu, 06 Apr 2023 17:45:57 GMT","time.struct_time(tm_year=2023, tm_mon=4, tm_mday=6, tm_hour=17, tm_min=45, tm_sec=57, tm_wday=3, tm_yday=96, tm_isdst=0)",40439Yearly Land Rent Increase Cap for Manufactured Homes20230406,False
"Wednesday, April 05, 2023  - Senator Vincent J. Hughes and Senator Jimmy Dillon, Senator Nick Miller","{'type': 'text/plain', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/SenateCosponsorship.xml', 'value': 'Wednesday, April 05, 2023  - Senator Vincent J. Hughes and Senator Jimmy Dillon, Senator Nick Miller'}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.legis.state.pa.us/cfdocs/legis/CSM/showMemoPublic.cfm?chamber=S&SPick=20230&cosponId=40426'}]",https://www.legis.state.pa.us/cfdocs/legis/CSM/showMemoPublic.cfm?chamber=S&SPick=20230&cosponId=40426,Small Business Fee Exemption,"{'type': 'text/html', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/SenateCosponsorship.xml', 'value': 'Small Business Fee Exemption'}","Wed, 05 Apr 2023 19:01:27 GMT","time.struct_time(tm_year=2023, tm_mon=4, tm_mday=5, tm_hour=19, tm_min=1, tm_sec=27, tm_wday=2, tm_yday=95, tm_isdst=0)",40426Small Business Fee Exemption20230405,False
"Wednesday, April 05, 2023  - Senator Jimmy Dillon and Senator Vincent J. Hughes, Senator Nick Miller","{'type': 'text/plain', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/SenateCosponsorship.xml', 'value': 'Wednesday, April 05, 2023  - Senator Jimmy Dillon and Senator Vincent J. Hughes, Senator Nick Miller'}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.legis.state.pa.us/cfdocs/legis/CSM/showMemoPublic.cfm?chamber=S&SPick=20230&cosponId=40425'}]",https://www.legis.state.pa.us/cfdocs/legis/CSM/showMemoPublic.cfm?chamber=S&SPick=20230&cosponId=40425,Small Business Tax-Deferred Savings Accounts,"{'type': 'text/html', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/SenateCosponsorship.xml', 'value': 'Small Business Tax-Deferred Savings Accounts'}","Wed, 05 Apr 2023 19:00:12 GMT","time.struct_time(tm_year=2023, tm_mon=4, tm_mday=5, tm_hour=19, tm_min=0, tm_sec=12, tm_wday=2, tm_yday=95, tm_isdst=0)",40425Small Business Tax-Deferred Savings Accounts20230405,False
"Wednesday, April 05, 2023  - Senator Jarrett Coleman","{'type': 'text/plain', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/SenateCosponsorship.xml', 'value': 'Wednesday, April 05, 2023  - Senator Jarrett Coleman'}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.legis.state.pa.us/cfdocs/legis/CSM/showMemoPublic.cfm?chamber=S&SPick=20230&cosponId=40424'}]",https://www.legis.state.pa.us/cfdocs/legis/CSM/showMemoPublic.cfm?chamber=S&SPick=20230&cosponId=40424,Performance audit of the Allentown Neighborhood Improvement Zone,"{'type': 'text/html', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/SenateCosponsorship.xml', 'value': 'Performance audit of the Allentown Neighborhood Improvement Zone'}","Wed, 05 Apr 2023 18:00:29 GMT","time.struct_time(tm_year=2023, tm_mon=4, tm_mday=5, tm_hour=18, tm_min=0, tm_sec=29, tm_wday=2, tm_yday=95, tm_isdst=0)",40424Performance audit of the Allentown Neighborhood Improvement Zone20230405,False
"Wednesday, April 05, 2023  - Senator Michele Brooks","{'type': 'text/plain', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/SenateCosponsorship.xml', 'value': 'Wednesday, April 05, 2023  - Senator Michele Brooks'}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.legis.state.pa.us/cfdocs/legis/CSM/showMemoPublic.cfm?chamber=S&SPick=20230&cosponId=40423'}]",https://www.legis.state.pa.us/cfdocs/legis/CSM/showMemoPublic.cfm?chamber=S&SPick=20230&cosponId=40423,Allowing Additional Highly-Qualified Individuals to Obtain Career and Technical Instructional I Certificates,"{'type': 'text/html', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/SenateCosponsorship.xml', 'value': 'Allowing Additional Highly-Qualified Individuals to Obtain Career and Technical Instructional I Certificates'}","Wed, 05 Apr 2023 17:51:10 GMT","time.struct_time(tm_year=2023, tm_mon=4, tm_mday=5, tm_hour=17, tm_min=51, tm_sec=10, tm_wday=2, tm_yday=95, tm_isdst=0)",40423Allowing Additional Highly-Qualified Individuals to Obtain Career and Technical Instructional I Certificates20230405,False
"Wednesday, April 05, 2023  - Senator Doug Mastriano","{'type': 'text/plain', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/SenateCosponsorship.xml', 'value': 'Wednesday, April 05, 2023  - Senator Doug Mastriano'}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.legis.state.pa.us/cfdocs/legis/CSM/showMemoPublic.cfm?chamber=S&SPick=20230&cosponId=40422'}]",https://www.legis.state.pa.us/cfdocs/legis/CSM/showMemoPublic.cfm?chamber=S&SPick=20230&cosponId=40422,Banning the use of gene therapy products in our food supply,"{'type': 'text/html', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/SenateCosponsorship.xml', 'value': 'Banning the use of gene therapy products in our food supply'}","Wed, 05 Apr 2023 17:49:23 GMT","time.struct_time(tm_year=2023, tm_mon=4, tm_mday=5, tm_hour=17, tm_min=49, tm_sec=23, tm_wday=2, tm_yday=95, tm_isdst=0)",40422Banning the use of gene therapy products in our food supply20230405,False
"Wednesday, April 05, 2023  - Senator John I. Kane","{'type': 'text/plain', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/SenateCosponsorship.xml', 'value': 'Wednesday, April 05, 2023  - Senator John I. Kane'}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.legis.state.pa.us/cfdocs/legis/CSM/showMemoPublic.cfm?chamber=S&SPick=20230&cosponId=40419'}]",https://www.legis.state.pa.us/cfdocs/legis/CSM/showMemoPublic.cfm?chamber=S&SPick=20230&cosponId=40419,Wiretap Law Amendments   Home Security Systems,"{'type': 'text/html', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/SenateCosponsorship.xml', 'value': 'Wiretap Law Amendments   Home Security Systems'}","Wed, 05 Apr 2023 16:41:27 GMT","time.struct_time(tm_year=2023, tm_mon=4, tm_mday=5, tm_hour=16, tm_min=41, tm_sec=27, tm_wday=2, tm_yday=95, tm_isdst=0)",40419Wiretap Law Amendments   Home Security Systems20230405,False
"Wednesday, April 05, 2023  - Senator Jarrett Coleman","{'type': 'text/plain', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/SenateCosponsorship.xml', 'value': 'Wednesday, April 05, 2023  - Senator Jarrett Coleman'}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.legis.state.pa.us/cfdocs/legis/CSM/showMemoPublic.cfm?chamber=S&SPick=20230&cosponId=40418'}]",https://www.legis.state.pa.us/cfdocs/legis/CSM/showMemoPublic.cfm?chamber=S&SPick=20230&cosponId=40418,Streamlining the deployment of broadband infrastructure,"{'type': 'text/html', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/SenateCosponsorship.xml', 'value': 'Streamlining the deployment of broadband infrastructure'}","Wed, 05 Apr 2023 16:24:20 GMT","time.struct_time(tm_year=2023, tm_mon=4, tm_mday=5, tm_hour=16, tm_min=24, tm_sec=20, tm_wday=2, tm_yday=95, tm_isdst=0)",40418Streamlining the deployment of broadband infrastructure20230405,False
"Tuesday, April 04, 2023  - Senator Elder A. Vogel, Jr.","{'type': 'text/plain', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/SenateCosponsorship.xml', 'value': 'Tuesday, April 04, 2023  - Senator Elder A. Vogel, Jr.'}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.legis.state.pa.us/cfdocs/legis/CSM/showMemoPublic.cfm?chamber=S&SPick=20230&cosponId=40414'}]",https://www.legis.state.pa.us/cfdocs/legis/CSM/showMemoPublic.cfm?chamber=S&SPick=20230&cosponId=40414,"Designating June 2023 as ""Dairy Month"" in Pennsylvania","{'type': 'text/html', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/SenateCosponsorship.xml', 'value': 'Designating June 2023 as ""Dairy Month"" in Pennsylvania'}","Tue, 04 Apr 2023 18:42:32 GMT","time.struct_time(tm_year=2023, tm_mon=4, tm_mday=4, tm_hour=18, tm_min=42, tm_sec=32, tm_wday=1, tm_yday=94, tm_isdst=0)","40414Designating June 2023 as ""Dairy Month"" in Pennsylvania20230404",False
"Tuesday, April 04, 2023  - Senator Ryan P. Aument and Senator Wayne D. Fontana","{'type': 'text/plain', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/SenateCosponsorship.xml', 'value': 'Tuesday, April 04, 2023  - Senator Ryan P. Aument and Senator Wayne D. Fontana'}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.legis.state.pa.us/cfdocs/legis/CSM/showMemoPublic.cfm?chamber=S&SPick=20230&cosponId=40411'}]",https://www.legis.state.pa.us/cfdocs/legis/CSM/showMemoPublic.cfm?chamber=S&SPick=20230&cosponId=40411,Legionnaires Disease Risk Management Legislation,"{'type': 'text/html', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/SenateCosponsorship.xml', 'value': 'Legionnaires Disease Risk Management Legislation'}","Tue, 04 Apr 2023 16:08:31 GMT","time.struct_time(tm_year=2023, tm_mon=4, tm_mday=4, tm_hour=16, tm_min=8, tm_sec=31, tm_wday=1, tm_yday=94, tm_isdst=0)",40411Legionnaires Disease Risk Management Legislation20230404,False
"Tuesday, April 04, 2023  - Senator Mike Regan","{'type': 'text/plain', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/SenateCosponsorship.xml', 'value': 'Tuesday, April 04, 2023  - Senator Mike Regan'}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.legis.state.pa.us/cfdocs/legis/CSM/showMemoPublic.cfm?chamber=S&SPick=20230&cosponId=40410'}]",https://www.legis.state.pa.us/cfdocs/legis/CSM/showMemoPublic.cfm?chamber=S&SPick=20230&cosponId=40410,Right-to-Repair,"{'type': 'text/html', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/SenateCosponsorship.xml', 'value': 'Right-to-Repair'}","Tue, 04 Apr 2023 15:51:24 GMT","time.struct_time(tm_year=2023, tm_mon=4, tm_mday=4, tm_hour=15, tm_min=51, tm_sec=24, tm_wday=1, tm_yday=94, tm_isdst=0)",40410Right-to-Repair20230404,False
"Tuesday, April 04, 2023  - Senator Lisa M. Boscola and Senator Devlin J. Robinson","{'type': 'text/plain', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/SenateCosponsorship.xml', 'value': 'Tuesday, April 04, 2023  - Senator Lisa M. Boscola and Senator Devlin J. Robinson'}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.legis.state.pa.us/cfdocs/legis/CSM/showMemoPublic.cfm?chamber=S&SPick=20230&cosponId=40409'}]",https://www.legis.state.pa.us/cfdocs/legis/CSM/showMemoPublic.cfm?chamber=S&SPick=20230&cosponId=40409,Resolution Designating April 2023 as Pennsylvania Community College Month,"{'type': 'text/html', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/SenateCosponsorship.xml', 'value': 'Resolution Designating April 2023 as Pennsylvania Community College Month'}","Tue, 04 Apr 2023 15:42:10 GMT","time.struct_time(tm_year=2023, tm_mon=4, tm_mday=4, tm_hour=15, tm_min=42, tm_sec=10, tm_wday=1, tm_yday=94, tm_isdst=0)",40409Resolution Designating April 2023 as Pennsylvania Community College Month20230404,False
"Tuesday, April 04, 2023  - Senator Carolyn T. Comitta","{'type': 'text/plain', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/SenateCosponsorship.xml', 'value': 'Tuesday, April 04, 2023  - Senator Carolyn T. Comitta'}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.legis.state.pa.us/cfdocs/legis/CSM/showMemoPublic.cfm?chamber=S&SPick=20230&cosponId=40407'}]",https://www.legis.state.pa.us/cfdocs/legis/CSM/showMemoPublic.cfm?chamber=S&SPick=20230&cosponId=40407,Protection of Dogs and Cats,"{'type': 'text/html', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/SenateCosponsorship.xml', 'value': 'Protection of Dogs and Cats'}","Tue, 04 Apr 2023 15:02:42 GMT","time.struct_time(tm_year=2023, tm_mon=4, tm_mday=4, tm_hour=15, tm_min=2, tm_sec=42, tm_wday=1, tm_yday=94, tm_isdst=0)",40407Protection of Dogs and Cats20230404,False
"Tuesday, April 04, 2023  - Senator Christine M. Tartaglione","{'type': 'text/plain', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/SenateCosponsorship.xml', 'value': 'Tuesday, April 04, 2023  - Senator Christine M. Tartaglione'}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.legis.state.pa.us/cfdocs/legis/CSM/showMemoPublic.cfm?chamber=S&SPick=20230&cosponId=40406'}]",https://www.legis.state.pa.us/cfdocs/legis/CSM/showMemoPublic.cfm?chamber=S&SPick=20230&cosponId=40406,"Recognizing May 2023 as ""Older Americans Month""","{'type': 'text/html', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/SenateCosponsorship.xml', 'value': 'Recognizing May 2023 as ""Older Americans Month""'}","Tue, 04 Apr 2023 13:58:40 GMT","time.struct_time(tm_year=2023, tm_mon=4, tm_mday=4, tm_hour=13, tm_min=58, tm_sec=40, tm_wday=1, tm_yday=94, tm_isdst=0)","40406Recognizing May 2023 as ""Older Americans Month""20230404",False
"Tuesday, April 04, 2023  - Senator Devlin J. Robinson and Senator Jay Costa","{'type': 'text/plain', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/SenateCosponsorship.xml', 'value': 'Tuesday, April 04, 2023  - Senator Devlin J. Robinson and Senator Jay Costa'}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.legis.state.pa.us/cfdocs/legis/CSM/showMemoPublic.cfm?chamber=S&SPick=20230&cosponId=40403'}]",https://www.legis.state.pa.us/cfdocs/legis/CSM/showMemoPublic.cfm?chamber=S&SPick=20230&cosponId=40403,Urban Search and Rescue Operation in Western PA,"{'type': 'text/html', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/SenateCosponsorship.xml', 'value': 'Urban Search and Rescue Operation in Western PA'}","Tue, 04 Apr 2023 13:30:54 GMT","time.struct_time(tm_year=2023, tm_mon=4, tm_mday=4, tm_hour=13, tm_min=30, tm_sec=54, tm_wday=1, tm_yday=94, tm_isdst=0)",40403Urban Search and Rescue Operation in Western PA20230404,False
"Monday, April 03, 2023  - Senator Nikil Saval and Senator Sharif Street","{'type': 'text/plain', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/SenateCosponsorship.xml', 'value': 'Monday, April 03, 2023  - Senator Nikil Saval and Senator Sharif Street'}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.legis.state.pa.us/cfdocs/legis/CSM/showMemoPublic.cfm?chamber=S&SPick=20230&cosponId=40402'}]",https://www.legis.state.pa.us/cfdocs/legis/CSM/showMemoPublic.cfm?chamber=S&SPick=20230&cosponId=40402,Arab American Heritage Month,"{'type': 'text/html', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/SenateCosponsorship.xml', 'value': 'Arab American Heritage Month'}","Mon, 03 Apr 2023 20:56:05 GMT","time.struct_time(tm_year=2023, tm_mon=4, tm_mday=3, tm_hour=20, tm_min=56, tm_sec=5, tm_wday=0, tm_yday=93, tm_isdst=0)",40402Arab American Heritage Month20230403,False
"Monday, April 03, 2023  - Senator Mike Regan","{'type': 'text/plain', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/SenateCosponsorship.xml', 'value': 'Monday, April 03, 2023  - Senator Mike Regan'}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.legis.state.pa.us/cfdocs/legis/CSM/showMemoPublic.cfm?chamber=S&SPick=20230&cosponId=40400'}]",https://www.legis.state.pa.us/cfdocs/legis/CSM/showMemoPublic.cfm?chamber=S&SPick=20230&cosponId=40400,Retired PA State Troopers COLA,"{'type': 'text/html', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/SenateCosponsorship.xml', 'value': 'Retired PA State Troopers COLA'}","Mon, 03 Apr 2023 20:04:10 GMT","time.struct_time(tm_year=2023, tm_mon=4, tm_mday=3, tm_hour=20, tm_min=4, tm_sec=10, tm_wday=0, tm_yday=93, tm_isdst=0)",40400Retired PA State Troopers COLA20230403,False
